,njets,npv,pt_1,eta_1,phi_1,m_1,iso_1,q_1,mt_1,pt_2,eta_2,phi_2,m_2,iso_2,q_2,mt_2,dm_2,jpt_1,jeta_1,jphi_1,jm_1,jbtag_1,jpt_2,jeta_2,jphi_2,jm_2,jbtag_2,pt_met,phi_met,m_vis,pt_vis,mjj,ptjj,jdeta,gen_match,run,weight,sample_name
4590,1,23,44.755196,-0.32295486,-1.104163,0.10565837,0.023636604,-1,38.81034092069185,36.009647,-0.6966588,1.4825009,0.8347982,0.08075199,1,15.536339942754209,1,35.686306,-0.70494163,1.4972032,3.742844,0.91601926,-999.0,-999.0,-999.0,-999.0,-999.0,13.131977,0.7519064,78.688866,23.667912,-999.0,-999.0,-999.0,True,1,0.47121727,GluGluToHToTauTauSkim
4591,1,8,29.233313,-0.70355713,0.28441772,0.10565837,0.0,-1,3.8658139357493857,46.81851,0.10495578,-2.6405146,1.0359718,0.015251214,1,72.98331032914786,1,44.58797,0.103976995,-2.6656773,1.9555768,0.15082982,-999.0,-999.0,-999.0,-999.0,-999.0,29.325499,0.15228951,79.73128,19.319302,-999.0,-999.0,-999.0,True,1,0.47121727,GluGluToHToTauTauSkim
4592,0,14,24.691284,1.2249837,0.79016757,0.10565837,0.020294435,1,12.013583259983362,22.404127,-0.4130326,-2.4349124,1.0127257,0.0,-1,20.949591996695965,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,6.1461043,-0.22852808,63.71126,3.0140731,-999.0,-999.0,-999.0,True,1,0.47121727,GluGluToHToTauTauSkim
4593,0,12,23.605694,1.139032,1.8426999,0.10565837,0.032021638,-1,7.739107705385717,22.864506,-0.14473969,-1.2900555,0.57945985,0.10909417,1,43.54544589199497,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,21.399855,1.4966439,56.377537,0.7690975,-999.0,-999.0,-999.0,True,1,0.47121727,GluGluToHToTauTauSkim
4594,0,14,19.58691,-0.29667607,-0.20454326,0.10565837,0.07355748,-1,29.34645188374863,25.090782,1.4074397,2.8627076,0.6939929,0.0,1,21.38576815425364,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,15.0439205,-2.2548559,61.413136,5.7452116,-999.0,-999.0,-999.0,True,1,0.47121727,GluGluToHToTauTauSkim
4595,2,14,29.651598,-0.63269264,-1.809667,0.10565837,0.018357592,1,42.92627410086757,41.69748,0.97624683,2.2107344,0.5637746,0.0,-1,53.97112182951984,1,80.24872,2.2430146,-0.040553644,13.166429,0.13573746,40.785526,0.9805632,2.2159946,6.0680285,0.1535591,23.18092,0.10848207,89.4687,32.25034,130.77934,62.913,1.2624514,True,1,0.47121727,GluGluToHToTauTauSkim
4596,1,9,22.599274,-0.6099499,-2.9303708,0.10565837,0.031428892,-1,3.680432130287671,32.118427,-0.5459404,-0.13083857,0.5545463,0.08319773,1,69.85029582008922,1,30.243092,-0.5202731,-0.14664651,3.2295187,0.19577757,-999.0,-999.0,-999.0,-999.0,-999.0,40.100605,-2.808037,53.13042,13.218098,-999.0,-999.0,-999.0,True,1,0.47121727,GluGluToHToTauTauSkim
4597,1,19,21.488626,-1.499337,1.3054153,0.10565837,0.039450128,1,5.136451289270135,22.61104,0.8114781,0.6494873,1.3018049,0.24089037,-1,16.50193118389847,10,45.034813,1.0646888,-2.2543302,9.57855,0.15963879,-999.0,-999.0,-999.0,-999.0,-999.0,49.51847,1.1477903,64.665,41.750725,-999.0,-999.0,-999.0,True,1,0.47121727,GluGluToHToTauTauSkim
4598,0,17,20.090809,0.4012041,-2.1611607,0.10565837,0.03749852,-1,5.195383623162593,24.615875,1.0401746,0.4906342,0.13957,0.057756007,1,20.436842119610557,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,4.2486525,-2.7311792,45.506744,11.6947565,-999.0,-999.0,-999.0,True,1,0.47121727,GluGluToHToTauTauSkim
4599,2,20,22.896948,0.7278585,-2.2348924,0.10565837,0.14414065,1,26.07515442001969,23.165823,1.0260806,0.13064219,0.9829019,0.022184515,-1,39.56813918147711,10,35.341515,-0.6897973,1.7297617,5.3452244,0.122368,30.11449,-2.6287909,0.9843704,8.772549,-1.0,38.27392,-1.322783,43.21173,17.430305,79.02466,60.9921,1.9389936,True,1,0.47121727,GluGluToHToTauTauSkim
